PRICE_PER_NIGHT,TAX_AMOUNT,ACCOM_NAME_EN,ACCOM_TYPE_CODE,BOOKING_PROVIDER_NAME_EN,ROOM_TYPE_CODE,CITY_NAME_EN,REVIEW_SCORE_NAME_EN,STAR_RATING_CODE
10,7.5,Park Inn By Radisson Makkah Thakher East,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,4
5.4,4.05,Al Kiram Hotel,Hotel,EXPEDIA,King Bed Room,Mecca,Good,3
5.4,4.05,Al Kiram Hotel,Hotel,HOTELS.COM,King Bed Room,Mecca,Good,3
5.4,4.05,Al Kiram Hotel,Hotel,HOTELS.COM,Twin Room,Mecca,Good,3
6.8,5.1,Elaf Bakkah Hotel,Hotel,AGODA.COM,Twin Room,Mecca,Very Good,4
6.8,5.1,Elaf Bakkah Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
7,5.25,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Double Room,Mecca,Very Good,4
7.6,5.7,Al Kiram Hotel,Hotel,BOOKING.COM,Quadruple Room,Mecca,Good,3
7.6,5.7,Al Kiram Hotel,Hotel,KAYAK,Quadruple Room,Mecca,Good,3
7.6,5.7,Roots Hotel,Hotel,EXPEDIA,Superior Room,Mecca,Very Good,3
8,6,Time Ruba Hotel & Suites,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
8,6,Wirgan Hotel Al Nour,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
10.4,7.8,M Hotel Al Dana Makkah by Millennium,Hotel,BOOKING.COM,Standard Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Azizyah,Hotel,KAYAK,Superior Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Nour,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Nour,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Nour,Hotel,KAYAK,Superior Room,Mecca,Very Good,4
10.4,7.8,Novotel Makkah Thakher City,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
10.6,7.95,Park Inn by Radisson Makkah Aziziyah,Hotel,PRICELINE,Standard Room,Mecca,Very Good,5
10.8,8.1,Millennium Makkah Al Naseem,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,5
10.8,8.1,Park Inn by Radisson Makkah Aziziyah,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,5
10.8,8.1,Millennium Makkah Al Naseem,Hotel,PRICELINE,Standard Room,Mecca,Very Good,5
5.8,4.35,Al Kiram Hotel,Hotel,KAYAK,King Bed Room,Mecca,Good,3
7.2,5.4,Al Kiram Hotel,Hotel,EXPEDIA,Quadruple Room,Mecca,Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,AGODA.COM,King Bed Room,Mecca,Very Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,KAYAK,Triple Room,Mecca,Very Good,3
7.6,5.7,Elaf Bakkah Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Very Good,4
7.6,5.7,Elaf Bakkah Hotel,Hotel,KAYAK,Twin Room,Mecca,Very Good,4
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,3
8.2,6.15,Three Points Musalli Makkah,Hotel,TRIP.COM,Twin Room,Mecca,Very Good,3
8.2,6.15,Novotel Makkah Thakher City,Hotel,SUPER.COM,Superior Room,Mecca,Very Good,4
5.4,4.05,Al Kiram Hotel,Hotel,EXPEDIA,Twin Room,Mecca,Good,3
5.8,4.35,Al Kiram Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Good,3
6.6,4.95,Al Kiram Hotel,Hotel,BOOKING.COM,Triple Room,Mecca,Good,3
6.8,5.1,Elaf Bakkah Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Very Good,4
7.6,5.7,Al Kiram Hotel,Hotel,AGODA.COM,Quadruple Room,Mecca,Good,3
7.6,5.7,Roots Hotel,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,3
7.6,5.7,Elaf Bakkah Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,KAYAK,Twin Room,Mecca,Very Good,3
8,6,Time Ruba Hotel & Suites,Hotel,AGODA.COM,Deluxe Room,Mecca,Very Good,4
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,KAYAK,Twin Room,Mecca,Very Good,1
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,1
8.6,6.45,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
8.6,6.45,Elaf Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Okay,2
8.8,6.6,Diyaralmashaer Al-Hadiyah Hotel,Hotel,BOOKING.COM,Triple Room,Mecca,Very Good,1
8.8,6.6,Diyaralmashaer Al-Hadiyah Hotel,Hotel,KAYAK,Triple Room,Mecca,Very Good,1
9,6.75,Elaf Bakkah Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
9.2,6.9,Time Ruba Hotel & Suites,Hotel,BOOKING.COM,Deluxe Room,Mecca,Very Good,4
9.2,6.9,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
9.2,6.9,M Hotel Al Dana Makkah by Millennium,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,4
8.6,6.45,Time Ruba Hotel & Suites,Hotel,AGODA.COM,Deluxe Room,Mecca,Very Good,4
8.6,6.45,Time Ruba Hotel & Suites,Hotel,BOOKING.COM,Deluxe Room,Mecca,Very Good,4
9,6.75,M Hotel Al Dana Makkah by Millennium,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
9.2,6.9,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
9.2,6.9,Elaf Bakkah Hotel,Hotel,EXPEDIA,Triple Room,Mecca,Very Good,4
9.4,7.05,Wirgan Hotel Al Azizyah,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
